page_id,section,page_name,url,page_type,market,language,primary_keyword,secondary_keywords,search_intent,buyer_stage,source_cluster,page_role,excluded_keywords,cannibalization_boundary,priority,mapping_status,verification_status,notes,title,meta_description,h1,canonical,robots,schema_type,breadcrumb_parent,primary_internal_link_sources,last_reviewed_date,target_sitemap,exception_directive,delivery_status,source_manifest
MARKET-UK-001,MARKETS,United Kingdom,/markets/united-kingdom/,Market procurement landing page,UK,EN,titanium dioxide supplier uk,tio2 supplier uk | titanium dioxide manufacturer uk | titanium dioxide import uk | malaysia titanium dioxide uk | non china titanium dioxide uk | titanium dioxide anti dumping uk | titanium dioxide tariff uk,C,Supplier Search,MARKET-UK-01,"Own UK supplier intent, local procurement context, applications, documentation, and RFQ routing.",generic application terms | exact grade terms | detailed trade-update terms,Country page owns explicit country modifier; EU page owns Europe/EU modifier; Resources owns detailed trade-policy queries.,P0,APPROVED_PRD_V0.3,QUALITATIVE_KEYWORD_EVIDENCE,Market facts and trade statements require current official-source review before publication.,Malaysia Titanium Dioxide Supplier for UK Buyers | TiO2 Malaysia,"Explore Malaysia-origin titanium dioxide for UK industrial applications, representative grades, GB or NI review paths, documents and RFQ steps.",Malaysia-Origin Titanium Dioxide for United Kingdom Buyers,https://tio2products.com/markets/united-kingdom/,"index, follow",WebPage|BreadcrumbList,MARKET-000,MARKET-000|HOME-001,2026-09-13,YES,NONE,CURRENT_APPROVED_OR_PRERELEASE_VALUE_DELIVERED,pages/markets/06_handoff/MARKET-UK-001_CURRENT_GATE8_AUTHORIZATION_MANIFEST_V0.7.md
MARKET-IN-001,MARKETS,India,/markets/india/,Market procurement landing page,INDIA,EN,titanium dioxide supplier india,tio2 supplier india | titanium dioxide manufacturer india | titanium dioxide import india | malaysia titanium dioxide india | non china titanium dioxide india | titanium dioxide price india | titanium dioxide anti dumping india | titanium dioxide for paint india | titanium dioxide for plastics india | titanium dioxide for masterbatch india,C,Supplier Search,MARKET-IN-01,"Own India supplier, price, paints, plastics, and masterbatch procurement intent.",generic application terms | exact grade terms | detailed trade-update terms,Country page owns explicit country modifier; EU page owns Europe/EU modifier; Resources owns detailed trade-policy queries.,P0,APPROVED_PRD_V0.3,QUALITATIVE_KEYWORD_EVIDENCE,Market facts and trade statements require current official-source review before publication.,Titanium Dioxide Supplier India | TiO2 Malaysia,"Explore Malaysia-origin industrial titanium dioxide Grades for coatings, plastics and masterbatch production in India. Request documents or request a quote.",Titanium Dioxide Supplier for India,https://tio2products.com/markets/india/,"index, follow",WebPage|BreadcrumbList,MARKET-000,MARKET-000|HOME-001,2026-09-13,YES,NONE,CURRENT_APPROVED_OR_PRERELEASE_VALUE_DELIVERED,pages/markets/india/MARKET-IN-001_CURRENT_GATE_BASELINE_MANIFEST_V0.18.md
MARKET-BR-EN,MARKETS,Brazil,/markets/brazil/,Market procurement landing page,BRAZIL,EN,titanium dioxide supplier brazil,titanium dioxide brazil | tio2 brazil | titanium dioxide importer brazil | malaysia titanium dioxide brazil | non china titanium dioxide brazil | titanium dioxide anti dumping brazil,C,Supplier Search,MARKET-BR-EN,Own English-language Brazil supplier and importer intent.,generic application terms | exact grade terms | detailed trade-update terms,Country page owns explicit country modifier; EU page owns Europe/EU modifier; Resources owns detailed trade-policy queries.,P1,APPROVED_PRD_V0.3,QUALITATIVE_KEYWORD_EVIDENCE,Market facts and trade statements require current official-source review before publication.,Titanium Dioxide Supplier Brazil | TiO2 Malaysia,"Explore Malaysia-origin industrial titanium dioxide Grades for coatings, plastics and masterbatch production in Brazil. Request documents or request a quote.",Titanium Dioxide Supplier for Brazil,https://tio2products.com/markets/brazil/,"index, follow",WebPage|BreadcrumbList,MARKET-000,MARKET-000|HOME-001,2026-09-13,YES,NONE,CURRENT_APPROVED_OR_PRERELEASE_VALUE_DELIVERED,pages/markets/brazil/MARKET-BR-EN_CURRENT_GATE_BASELINE_MANIFEST_V0.16.md
MARKET-BR-PT,MARKETS,Brazil Portuguese,/pt-br/markets/brazil/,Localized market procurement landing page,BRAZIL,PT-BR,fornecedor de dióxido de titânio,dióxido de titânio brasil | importador de dióxido de titânio | dióxido de titânio para tintas | dióxido de titânio para plásticos | fornecedor de tio2 brasil | fabricante de dióxido de titânio brasil | dióxido de titânio preço | antidumping dióxido de titânio china brasil,C,Supplier Search,MARKET-BR-PT,"Own Portuguese-language Brazil supplier, price, coatings, and plastics intent.",English Brazil supplier terms | general Portuguese informational content unrelated to B2B pigment sourcing,PT-BR page owns Portuguese queries; English Brazil page owns English queries; use hreflang after localization approval.,P1,APPROVED_PUBLICATION_TARGET_2026-09-13,LOCALIZATION_REVIEW_REQUIRED,Language strategy and URL remain subject to the later Brazil localization decision.,Fornecedor de dióxido de titânio para o Brasil | TiO2 Malaysia,"Dióxido de titânio originário da Malásia para compradores no Brasil. Conheça grades para tintas, plásticos e masterbatch. Solicite documentos ou uma cotação.",Dióxido de titânio originário da Malásia para compradores no Brasil,https://tio2products.com/pt-br/markets/brazil/,"index, follow",WebPage|BreadcrumbList,MARKET-000,MARKET-000|HOME-001,2026-09-13,YES,LOCALIZATION_AND_HREFLANG_MUST_CLOSE_BEFORE_RELEASE,CURRENT_VALUE_DELIVERED_PENDING_PLAN_TASK_2_FINAL_RECONFIRMATION,pages/markets/brazil/MARKET-BR-PT_CURRENT_GATE_BASELINE_MANIFEST_V0.15.md
PRODUCT-000,PRODUCTS,Titanium Dioxide Products,/products/,Product hub,GLOBAL,EN,titanium dioxide pigment,tio2 pigment supplier | industrial titanium dioxide supplier | titanium white pigment | titanium dioxide grades | titanium dioxide grade selection | rutile titanium dioxide | rutile tio2 supplier | rutile titanium dioxide pigment,C,Supplier Search,PRODUCT-01 | PRODUCT-02,"Own generic pigment, rutile, grade-list, and grade-selection intent; route to process and grade pages.",exact grade terms | generic application terms | country supplier terms,Product hub owns generic product-family intent; process pages own process terms; grade pages own model terms; Applications owns use-case terms.,P0,APPROVED_PRD_V0.3,QUALITATIVE_KEYWORD_EVIDENCE,No separate Rutile landing page; rutile terms merge into this hub.,Titanium Dioxide Pigment Grades | TiO2 Malaysia,"Explore 14 titanium dioxide pigment grades by application, production process and portfolio group, then continue to grade pages for technical evaluation.",Titanium Dioxide Pigment Grades for Industrial Applications,https://tio2products.com/products/,"index, follow",CollectionPage|ItemList|BreadcrumbList,HOME-001,HOME-001|GLOBAL_CHROME_PRIMARY_NAV,2026-09-13,YES,NONE,CURRENT_APPROVED_OR_PRERELEASE_VALUE_DELIVERED,pages/products/05_review/PRODUCT-000_GATE6_CURRENT_BASELINE_MANIFEST_V0.1.md
PRODUCT-PROC-CL,PRODUCTS,Chloride Process Titanium Dioxide,/products/chloride-process-titanium-dioxide/,Process aggregation page,GLOBAL,EN,chloride process titanium dioxide,chloride tio2 | chloride process tio2 supplier,C,Technical Evaluation,PRODUCT-03,Explain chloride-process selection and aggregate verified chloride grades.,chloride vs sulfate comparison | exact grade terms | generic application terms,Process page owns chloride-process category intent; comparison guide owns versus intent; grade pages own model intent.,P1,APPROVED_PRD_V0.3,QUALITATIVE_KEYWORD_EVIDENCE,M-2377 must not be included until its process is technically verified.,Chloride Process Titanium Dioxide | TiO2 Malaysia,"Explore eight Malaysia-origin chloride-process titanium dioxide grades, understand what the process label means, and review product information or request a quote.",Chloride Process Titanium Dioxide,https://tio2products.com/products/chloride-process-titanium-dioxide/,"index, follow",CollectionPage|ItemList|BreadcrumbList,PRODUCT-000,PRODUCT-000,2026-09-13,YES,NONE,CURRENT_APPROVED_OR_PRERELEASE_VALUE_DELIVERED,pages/products/chloride-process/PRODUCT-PROC-CL_CURRENT_GATE_BASELINE_MANIFEST_V0.29.md
PRODUCT-PROC-SU,PRODUCTS,Sulfate Process Titanium Dioxide,/products/sulfate-process-titanium-dioxide/,Process aggregation page,GLOBAL,EN,sulfate process titanium dioxide,sulphate process titanium dioxide | sulfate tio2 supplier,C,Technical Evaluation,PRODUCT-04,"Explain sulfate-process selection, include sulphate spelling, and aggregate verified sulfate grades.",chloride vs sulfate comparison | exact grade terms | generic application terms,Process page owns sulfate/sulphate category intent; comparison guide owns versus intent; grade pages own model intent.,P1,APPROVED_PRD_V0.3,QUALITATIVE_KEYWORD_EVIDENCE,Use one page for sulfate and sulphate spelling variants.,Sulfate Process Titanium Dioxide Grades | TiO2 Malaysia,"Explore five Malaysia-origin sulfate process titanium dioxide Grades by application, then review product details, request documents or request a quote.",Sulfate Process Titanium Dioxide,https://tio2products.com/products/sulfate-process-titanium-dioxide/,"index, follow",CollectionPage|ItemList|BreadcrumbList,PRODUCT-000,PRODUCT-000,2026-09-13,YES,NONE,CURRENT_APPROVED_OR_PRERELEASE_VALUE_DELIVERED,pages/products/sulfate-process/PRODUCT-PROC-SU_CURRENT_GATE_BASELINE_MANIFEST_V0.13.md
GRADE-M350,PRODUCTS,M-350,/products/m-350/,Grade product page,GLOBAL,EN,M-350 titanium dioxide,M-350 rutile titanium dioxide | M-350 TiO2 | M-350 titanium dioxide for chloride | M-350 TDS | M-350 titanium dioxide sample | M-350 titanium dioxide supplier,C,Technical Evaluation / RFQ,PRD-V0.3-GRADE-MAPPING,"General chloride grade for decorative, industrial, automotive coatings and inks.",generic titanium dioxide for application | process-category primary term | country supplier primary term,This page owns M-350 model intent only; Applications owns generic use-case intent; process pages own generic process intent.,P1,APPROVED_PRD_V0.3,PROVISIONAL_KEYWORD_NO_METRICS,"Model keyword is architecture-derived; no model-specific search-volume, KD, or CPC row exists in the keyword master.",M-350 Titanium Dioxide for Coatings and Inks | TiO2 Malaysia,"Evaluate M-350 titanium dioxide for coatings, printing inks and plastics. Review application directions, formulation priorities and 15-row technical data.",M-350 Titanium Dioxide for Multi-Application Evaluation,https://tio2products.com/products/m-350/,"index, follow",Product|BreadcrumbList,PRODUCT-000,PRODUCT-000|APPLICATION_PAGES|PROCESS_PAGES,2026-09-13,YES,NONE,CURRENT_APPROVED_OR_PRERELEASE_VALUE_DELIVERED,pages/products/detail-template/05_review/GRADE-M350_GATE9_READ_ONLY_QA_CLOSURE_V0.1.md
GRADE-M510,PRODUCTS,M-510,/products/m-510/,Grade product page,GLOBAL,EN,M-510 titanium dioxide,M-510 rutile titanium dioxide | M-510 TiO2 | M-510 titanium dioxide for coatings | M-510 TDS | M-510 titanium dioxide sample | M-510 titanium dioxide supplier,C,Technical Evaluation / RFQ,PRD-V0.3-GRADE-MAPPING,Multi-application grade for architectural and automotive coating evaluation.,generic titanium dioxide for application | process-category primary term | country supplier primary term,This page owns M-510 model intent only; Applications owns generic use-case intent; process pages own generic process intent.,P1,APPROVED_PRD_V0.3,PROVISIONAL_KEYWORD_NO_METRICS,"Model keyword is architecture-derived; no model-specific search-volume, KD, or CPC row exists in the keyword master.",M-510 Titanium Dioxide for Coatings | TiO2 Malaysia,"Evaluate M-510 titanium dioxide for architectural and automotive coatings, then review secondary application paths or request documents, a sample or RFQ.",M-510 Titanium Dioxide for Coating Evaluation,https://tio2products.com/products/m-510/,"index, follow",Product|BreadcrumbList,PRODUCT-000,PRODUCT-000|APPLICATION_PAGES|PROCESS_PAGES,2026-09-13,YES,NONE,CURRENT_APPROVED_OR_PRERELEASE_VALUE_DELIVERED,pages/products/detail-template/05_review/GRADE-M510_CURRENT_GATE9_BASELINE_MANIFEST_V0.8.md
GRADE-M896,PRODUCTS,M-896,/products/m-896/,Grade product page,GLOBAL,EN,M-896 titanium dioxide,M-896 rutile titanium dioxide | M-896 TiO2 | M-896 titanium dioxide for coatings | M-896 TDS | M-896 titanium dioxide sample | M-896 titanium dioxide supplier,C,Technical Evaluation / RFQ,PRD-V0.3-GRADE-MAPPING,Industrial and weather-resistant coatings grade.,generic titanium dioxide for application | process-category primary term | country supplier primary term,This page owns M-896 model intent only; Applications owns generic use-case intent; process pages own generic process intent.,P1,APPROVED_PRD_V0.3,PROVISIONAL_KEYWORD_NO_METRICS,"Model keyword is architecture-derived; no model-specific search-volume, KD, or CPC row exists in the keyword master.",M-896 Titanium Dioxide for Industrial Coatings | TiO2 Malaysia,"Evaluate M-896 titanium dioxide for industrial and weather-resistant coatings. Review typical data, request documents or a sample, and submit an RFQ.",M-896 Titanium Dioxide for Industrial Coating Evaluation,https://tio2products.com/products/m-896/,"index, follow",Product|BreadcrumbList,PRODUCT-000,PRODUCT-000|APPLICATION_PAGES|PROCESS_PAGES,2026-09-13,YES,NONE,CURRENT_APPROVED_OR_PRERELEASE_VALUE_DELIVERED,pages/products/detail-template/05_review/GRADE-M896_CURRENT_GATE9_BASELINE_MANIFEST_V0.4.md
GRADE-M996,PRODUCTS,M-996,/products/m-996/,Grade product page,GLOBAL,EN,M-996 titanium dioxide,M-996 rutile titanium dioxide | M-996 TiO2 | M-996 titanium dioxide for coatings | M-996 TDS | M-996 titanium dioxide sample | M-996 titanium dioxide supplier,C,Technical Evaluation / RFQ,PRD-V0.3-GRADE-MAPPING,"Sulfate durable industrial, powder, and architectural coatings grade.",generic titanium dioxide for application | process-category primary term | country supplier primary term,This page owns M-996 model intent only; Applications owns generic use-case intent; process pages own generic process intent.,P1,APPROVED_PRD_V0.3,TECHNICAL_VERIFICATION_REQUIRED,URL and model keyword are approved; conflicting or differentiating technical claims must remain unrendered until verified.,M-996 Titanium Dioxide for Coatings | TiO2 Malaysia,"Evaluate M-996 titanium dioxide for industrial, powder, and exterior or interior architectural coatings. Review typical data, request a sample or RFQ.","M-996 Titanium Dioxide for Industrial, Powder and Architectural Coatings",https://tio2products.com/products/m-996/,"index, follow",Product|BreadcrumbList,PRODUCT-000,PRODUCT-000|APPLICATION_PAGES|PROCESS_PAGES,2026-09-13,YES,UNVERIFIED_DIFFERENTIATING_CLAIMS_MUST_NOT_RENDER,CURRENT_APPROVED_OR_PRERELEASE_VALUE_DELIVERED,pages/products/detail-template/05_review/GRADE-M996_CURRENT_GATE9_BASELINE_MANIFEST_V0.3.md
GRADE-M2196,PRODUCTS,M-2196,/products/m-2196/,Grade product page,GLOBAL,EN,M-2196 titanium dioxide,M-2196 rutile titanium dioxide | M-2196 TiO2 | M-2196 titanium dioxide for coatings | M-2196 TDS | M-2196 titanium dioxide sample | M-2196 titanium dioxide supplier,C,Technical Evaluation / RFQ,PRD-V0.3-GRADE-MAPPING,Sulfate industrial and powder coatings grade; publish differentiation from M-996 only when verified.,generic titanium dioxide for application | process-category primary term | country supplier primary term,This page owns M-2196 model intent only; Applications owns generic use-case intent; process pages own generic process intent.,P1,APPROVED_PRD_V0.3,TECHNICAL_VERIFICATION_REQUIRED,URL and model keyword are approved; conflicting or differentiating technical claims must remain unrendered until verified.,M-2196 Titanium Dioxide for Coatings | TiO2 Malaysia,"Evaluate M-2196 titanium dioxide for solvent-based furniture and industrial paint. Review typical data, request a sample or RFQ.",M-2196 Titanium Dioxide for Solvent-Based Furniture and Industrial Paint,https://tio2products.com/products/m-2196/,"index, follow",Product|BreadcrumbList,PRODUCT-000,PRODUCT-000|APPLICATION_PAGES|PROCESS_PAGES,2026-09-13,YES,UNVERIFIED_DIFFERENTIATING_CLAIMS_MUST_NOT_RENDER,CURRENT_APPROVED_OR_PRERELEASE_VALUE_DELIVERED,pages/products/detail-template/05_review/GRADE-M2196_CURRENT_GATE9_BASELINE_MANIFEST_V0.3.md
GRADE-M895,PRODUCTS,M-895,/products/m-895/,Grade product page,GLOBAL,EN,M-895 titanium dioxide,M-895 rutile titanium dioxide | M-895 TiO2 | M-895 titanium dioxide for coatings | M-895 TDS | M-895 titanium dioxide sample | M-895 titanium dioxide supplier,C,Technical Evaluation / RFQ,PRD-V0.3-GRADE-MAPPING,Architectural and industrial coatings grade.,generic titanium dioxide for application | process-category primary term | country supplier primary term,This page owns M-895 model intent only; Applications owns generic use-case intent; process pages own generic process intent.,P1,APPROVED_PRD_V0.3,PROVISIONAL_KEYWORD_NO_METRICS,"Model keyword is architecture-derived; no model-specific search-volume, KD, or CPC row exists in the keyword master.",M-895 Titanium Dioxide for Coatings | TiO2 Malaysia,"Evaluate M-895 titanium dioxide for architectural and industrial coatings. Review typical data, request documents or a sample, and submit an RFQ.",M-895 Titanium Dioxide for Architectural and Industrial Coatings,https://tio2products.com/products/m-895/,"index, follow",Product|BreadcrumbList,PRODUCT-000,PRODUCT-000|APPLICATION_PAGES|PROCESS_PAGES,2026-09-13,YES,NONE,CURRENT_APPROVED_OR_PRERELEASE_VALUE_DELIVERED,pages/products/detail-template/05_review/GRADE-M895_CURRENT_GATE9_BASELINE_MANIFEST_V0.3.md
