relation_id,grade,application,application_status,application_source_id,application_source,application_source_type,application_source_date,application_scope,application_conflict,comparison_hold,comparison_hold_reason,application_public_behavior,process,process_status,process_source_id,process_source,process_source_type,process_source_date,process_scope,process_conflict,process_public_behavior,v01_gate1_relation_id,v01_to_v02_crosswalk_action
REL-M510-PAPER,M-510,Paper,NO_PUBLIC_MAPPING,SRC-WEB-M510,https://www.mytio2.com/products/m-510/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,current first-party baseline does not map this grade to this application;not a technical unsuitability statement,none,,,DO_NOT_RENDER,Chloride,VERIFIED_FOR_PUBLIC_MAPPING,SRC-WEB-M510,https://www.mytio2.com/products/m-510/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,neutral process classification only;no process superiority or performance implication,none,RENDER_NEUTRAL_CLASSIFICATION,NONE,V01_NO_PUBLIC_MAPPING_RETAINED
REL-M510-SPEC,M-510,Specialty Materials,NO_PUBLIC_MAPPING,SRC-WEB-M510,https://www.mytio2.com/products/m-510/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,current first-party baseline does not map this grade to this application;not a technical unsuitability statement,none,,,DO_NOT_RENDER,Chloride,VERIFIED_FOR_PUBLIC_MAPPING,SRC-WEB-M510,https://www.mytio2.com/products/m-510/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,neutral process classification only;no process superiority or performance implication,none,RENDER_NEUTRAL_CLASSIFICATION,NONE,V01_NO_PUBLIC_MAPPING_RETAINED
REL-M896-COAT,M-896,Coatings,VERIFIED_FOR_PUBLIC_MAPPING,SRC-WEB-M896,https://www.mytio2.com/products/m-896/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,neutral Grade to Review mapping only;no ranking recommendation equivalence or performance implication,none,,,RENDER_NEUTRAL_MAPPING,Chloride,VERIFIED_FOR_PUBLIC_MAPPING,SRC-WEB-M896,https://www.mytio2.com/products/m-896/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,neutral process classification only;no process superiority or performance implication,none,RENDER_NEUTRAL_CLASSIFICATION,SEL-COAT-M896,V01_PENDING_TO_VERIFIED
REL-M896-PLAS,M-896,Plastics,NO_PUBLIC_MAPPING,SRC-WEB-M896,https://www.mytio2.com/products/m-896/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,current first-party baseline does not map this grade to this application;not a technical unsuitability statement,none,,,DO_NOT_RENDER,Chloride,VERIFIED_FOR_PUBLIC_MAPPING,SRC-WEB-M896,https://www.mytio2.com/products/m-896/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,neutral process classification only;no process superiority or performance implication,none,RENDER_NEUTRAL_CLASSIFICATION,NONE,V01_NO_PUBLIC_MAPPING_RETAINED
REL-M896-MB,M-896,Masterbatch,NO_PUBLIC_MAPPING,SRC-WEB-M896,https://www.mytio2.com/products/m-896/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,current first-party baseline does not map this grade to this application;not a technical unsuitability statement,none,,,DO_NOT_RENDER,Chloride,VERIFIED_FOR_PUBLIC_MAPPING,SRC-WEB-M896,https://www.mytio2.com/products/m-896/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,neutral process classification only;no process superiority or performance implication,none,RENDER_NEUTRAL_CLASSIFICATION,NONE,V01_NO_PUBLIC_MAPPING_RETAINED
REL-M896-INK,M-896,Printing Inks,NO_PUBLIC_MAPPING,SRC-WEB-M896,https://www.mytio2.com/products/m-896/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,current first-party baseline does not map this grade to this application;not a technical unsuitability statement,none,,,DO_NOT_RENDER,Chloride,VERIFIED_FOR_PUBLIC_MAPPING,SRC-WEB-M896,https://www.mytio2.com/products/m-896/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,neutral process classification only;no process superiority or performance implication,none,RENDER_NEUTRAL_CLASSIFICATION,NONE,V01_NO_PUBLIC_MAPPING_RETAINED
REL-M896-PAPER,M-896,Paper,NO_PUBLIC_MAPPING,SRC-WEB-M896,https://www.mytio2.com/products/m-896/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,current first-party baseline does not map this grade to this application;not a technical unsuitability statement,none,,,DO_NOT_RENDER,Chloride,VERIFIED_FOR_PUBLIC_MAPPING,SRC-WEB-M896,https://www.mytio2.com/products/m-896/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,neutral process classification only;no process superiority or performance implication,none,RENDER_NEUTRAL_CLASSIFICATION,NONE,V01_NO_PUBLIC_MAPPING_RETAINED
REL-M896-SPEC,M-896,Specialty Materials,NO_PUBLIC_MAPPING,SRC-WEB-M896,https://www.mytio2.com/products/m-896/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,current first-party baseline does not map this grade to this application;not a technical unsuitability statement,none,,,DO_NOT_RENDER,Chloride,VERIFIED_FOR_PUBLIC_MAPPING,SRC-WEB-M896,https://www.mytio2.com/products/m-896/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,neutral process classification only;no process superiority or performance implication,none,RENDER_NEUTRAL_CLASSIFICATION,NONE,V01_NO_PUBLIC_MAPPING_RETAINED
REL-M996-COAT,M-996,Coatings,VERIFIED_FOR_PUBLIC_MAPPING,ATT-M996-R996,D:/01AICode/7.27 马来全套TDS +应用指南/2-LBR996-TITAN.pdf,USER_CONFIRMED_CURRENT_VALID_TECHNICAL_MATERIAL,user confirmed current valid 2026-08-30,Industrial coatings; powder coatings; architectural coatings; neutral Grade-to-Application mapping only,none,M996_VS_M2196_DIFFERENTIATION_FROZEN,"Base Grade–Application and Grade–Process mappings are approved, but differentiation, ranking, selection rationale and comparative positioning between M-996 and M-2196 remain unsupported and must not render.",RENDER_NEUTRAL_MAPPING,Sulfate,VERIFIED_FOR_PUBLIC_MAPPING,ATT-M996-R996,D:/01AICode/7.27 马来全套TDS +应用指南/2-LBR996-TITAN.pdf,USER_CONFIRMED_CURRENT_VALID_TECHNICAL_MATERIAL,user confirmed current valid 2026-08-30,Sulfate rutile grade; neutral process classification only; no process superiority or comparative claim,none,RENDER_NEUTRAL_CLASSIFICATION,SEL-COAT-M996,V01_PENDING_TO_VERIFIED;V03_EVIDENCE_REFRESH
REL-M996-PLAS,M-996,Plastics,NO_PUBLIC_MAPPING,SRC-WEB-M996,https://www.mytio2.com/products/m-996/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,current first-party baseline does not map this grade to this application;not a technical unsuitability statement,none,M996_VS_M2196_DIFFERENTIATION_FROZEN,"Base Grade–Application and Grade–Process mappings are approved, but differentiation, ranking, selection rationale and comparative positioning between M-996 and M-2196 remain unsupported and must not render.",DO_NOT_RENDER,Sulfate,VERIFIED_FOR_PUBLIC_MAPPING,ATT-M996-R996,D:/01AICode/7.27 马来全套TDS +应用指南/2-LBR996-TITAN.pdf,USER_CONFIRMED_CURRENT_VALID_TECHNICAL_MATERIAL,user confirmed current valid 2026-08-30,Sulfate rutile grade; neutral process classification only; no process superiority or comparative claim,none,RENDER_NEUTRAL_CLASSIFICATION,NONE,V01_NO_PUBLIC_MAPPING_RETAINED;V03_EVIDENCE_REFRESH
REL-M996-MB,M-996,Masterbatch,NO_PUBLIC_MAPPING,SRC-WEB-M996,https://www.mytio2.com/products/m-996/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,current first-party baseline does not map this grade to this application;not a technical unsuitability statement,none,M996_VS_M2196_DIFFERENTIATION_FROZEN,"Base Grade–Application and Grade–Process mappings are approved, but differentiation, ranking, selection rationale and comparative positioning between M-996 and M-2196 remain unsupported and must not render.",DO_NOT_RENDER,Sulfate,VERIFIED_FOR_PUBLIC_MAPPING,ATT-M996-R996,D:/01AICode/7.27 马来全套TDS +应用指南/2-LBR996-TITAN.pdf,USER_CONFIRMED_CURRENT_VALID_TECHNICAL_MATERIAL,user confirmed current valid 2026-08-30,Sulfate rutile grade; neutral process classification only; no process superiority or comparative claim,none,RENDER_NEUTRAL_CLASSIFICATION,NONE,V01_NO_PUBLIC_MAPPING_RETAINED;V03_EVIDENCE_REFRESH
REL-M996-INK,M-996,Printing Inks,NO_PUBLIC_MAPPING,SRC-WEB-M996,https://www.mytio2.com/products/m-996/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,current first-party baseline does not map this grade to this application;not a technical unsuitability statement,none,M996_VS_M2196_DIFFERENTIATION_FROZEN,"Base Grade–Application and Grade–Process mappings are approved, but differentiation, ranking, selection rationale and comparative positioning between M-996 and M-2196 remain unsupported and must not render.",DO_NOT_RENDER,Sulfate,VERIFIED_FOR_PUBLIC_MAPPING,ATT-M996-R996,D:/01AICode/7.27 马来全套TDS +应用指南/2-LBR996-TITAN.pdf,USER_CONFIRMED_CURRENT_VALID_TECHNICAL_MATERIAL,user confirmed current valid 2026-08-30,Sulfate rutile grade; neutral process classification only; no process superiority or comparative claim,none,RENDER_NEUTRAL_CLASSIFICATION,NONE,V01_NO_PUBLIC_MAPPING_RETAINED;V03_EVIDENCE_REFRESH
REL-M996-PAPER,M-996,Paper,NO_PUBLIC_MAPPING,SRC-WEB-M996,https://www.mytio2.com/products/m-996/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,current first-party baseline does not map this grade to this application;not a technical unsuitability statement,none,M996_VS_M2196_DIFFERENTIATION_FROZEN,"Base Grade–Application and Grade–Process mappings are approved, but differentiation, ranking, selection rationale and comparative positioning between M-996 and M-2196 remain unsupported and must not render.",DO_NOT_RENDER,Sulfate,VERIFIED_FOR_PUBLIC_MAPPING,ATT-M996-R996,D:/01AICode/7.27 马来全套TDS +应用指南/2-LBR996-TITAN.pdf,USER_CONFIRMED_CURRENT_VALID_TECHNICAL_MATERIAL,user confirmed current valid 2026-08-30,Sulfate rutile grade; neutral process classification only; no process superiority or comparative claim,none,RENDER_NEUTRAL_CLASSIFICATION,NONE,V01_NO_PUBLIC_MAPPING_RETAINED;V03_EVIDENCE_REFRESH
REL-M996-SPEC,M-996,Specialty Materials,NO_PUBLIC_MAPPING,SRC-WEB-M996,https://www.mytio2.com/products/m-996/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,current first-party baseline does not map this grade to this application;not a technical unsuitability statement,none,M996_VS_M2196_DIFFERENTIATION_FROZEN,"Base Grade–Application and Grade–Process mappings are approved, but differentiation, ranking, selection rationale and comparative positioning between M-996 and M-2196 remain unsupported and must not render.",DO_NOT_RENDER,Sulfate,VERIFIED_FOR_PUBLIC_MAPPING,ATT-M996-R996,D:/01AICode/7.27 马来全套TDS +应用指南/2-LBR996-TITAN.pdf,USER_CONFIRMED_CURRENT_VALID_TECHNICAL_MATERIAL,user confirmed current valid 2026-08-30,Sulfate rutile grade; neutral process classification only; no process superiority or comparative claim,none,RENDER_NEUTRAL_CLASSIFICATION,NONE,V01_NO_PUBLIC_MAPPING_RETAINED;V03_EVIDENCE_REFRESH
REL-M2196-COAT,M-2196,Coatings,VERIFIED_FOR_PUBLIC_MAPPING,ATT-M2196-R2196,D:/01AICode/7.27 马来全套TDS +应用指南/微信图片_20260830100826_2095_3.png,USER_CONFIRMED_CURRENT_VALID_TECHNICAL_MATERIAL,user confirmed current valid 2026-08-30,Solvent-based furniture paint and industrial paint; neutral Grade-to-Application mapping only,none,M996_VS_M2196_DIFFERENTIATION_FROZEN,"Base Grade–Application and Grade–Process mappings are approved, but differentiation, ranking, selection rationale and comparative positioning between M-996 and M-2196 remain unsupported and must not render.",RENDER_NEUTRAL_MAPPING,Sulfate,VERIFIED_FOR_PUBLIC_MAPPING,ATT-M2196-R2196,D:/01AICode/7.27 马来全套TDS +应用指南/微信图片_20260830100826_2095_3.png,USER_CONFIRMED_CURRENT_VALID_TECHNICAL_MATERIAL,user confirmed current valid 2026-08-30,Sulfate rutile grade; neutral process classification only; no process superiority or comparative claim,none,RENDER_NEUTRAL_CLASSIFICATION,SEL-COAT-M2196,V01_PENDING_TO_VERIFIED;V03_EVIDENCE_REFRESH
REL-M2196-PLAS,M-2196,Plastics,NO_PUBLIC_MAPPING,SRC-WEB-M2196,https://www.mytio2.com/products/m-2196/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,current first-party baseline does not map this grade to this application;not a technical unsuitability statement,none,M996_VS_M2196_DIFFERENTIATION_FROZEN,"Base Grade–Application and Grade–Process mappings are approved, but differentiation, ranking, selection rationale and comparative positioning between M-996 and M-2196 remain unsupported and must not render.",DO_NOT_RENDER,Sulfate,VERIFIED_FOR_PUBLIC_MAPPING,ATT-M2196-R2196,D:/01AICode/7.27 马来全套TDS +应用指南/微信图片_20260830100826_2095_3.png,USER_CONFIRMED_CURRENT_VALID_TECHNICAL_MATERIAL,user confirmed current valid 2026-08-30,Sulfate rutile grade; neutral process classification only; no process superiority or comparative claim,none,RENDER_NEUTRAL_CLASSIFICATION,NONE,V01_NO_PUBLIC_MAPPING_RETAINED;V03_EVIDENCE_REFRESH
REL-M2196-MB,M-2196,Masterbatch,NO_PUBLIC_MAPPING,SRC-WEB-M2196,https://www.mytio2.com/products/m-2196/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,current first-party baseline does not map this grade to this application;not a technical unsuitability statement,none,M996_VS_M2196_DIFFERENTIATION_FROZEN,"Base Grade–Application and Grade–Process mappings are approved, but differentiation, ranking, selection rationale and comparative positioning between M-996 and M-2196 remain unsupported and must not render.",DO_NOT_RENDER,Sulfate,VERIFIED_FOR_PUBLIC_MAPPING,ATT-M2196-R2196,D:/01AICode/7.27 马来全套TDS +应用指南/微信图片_20260830100826_2095_3.png,USER_CONFIRMED_CURRENT_VALID_TECHNICAL_MATERIAL,user confirmed current valid 2026-08-30,Sulfate rutile grade; neutral process classification only; no process superiority or comparative claim,none,RENDER_NEUTRAL_CLASSIFICATION,NONE,V01_NO_PUBLIC_MAPPING_RETAINED;V03_EVIDENCE_REFRESH
REL-M2196-INK,M-2196,Printing Inks,NO_PUBLIC_MAPPING,SRC-WEB-M2196,https://www.mytio2.com/products/m-2196/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,current first-party baseline does not map this grade to this application;not a technical unsuitability statement,none,M996_VS_M2196_DIFFERENTIATION_FROZEN,"Base Grade–Application and Grade–Process mappings are approved, but differentiation, ranking, selection rationale and comparative positioning between M-996 and M-2196 remain unsupported and must not render.",DO_NOT_RENDER,Sulfate,VERIFIED_FOR_PUBLIC_MAPPING,ATT-M2196-R2196,D:/01AICode/7.27 马来全套TDS +应用指南/微信图片_20260830100826_2095_3.png,USER_CONFIRMED_CURRENT_VALID_TECHNICAL_MATERIAL,user confirmed current valid 2026-08-30,Sulfate rutile grade; neutral process classification only; no process superiority or comparative claim,none,RENDER_NEUTRAL_CLASSIFICATION,NONE,V01_NO_PUBLIC_MAPPING_RETAINED;V03_EVIDENCE_REFRESH
REL-M2196-PAPER,M-2196,Paper,NO_PUBLIC_MAPPING,SRC-WEB-M2196,https://www.mytio2.com/products/m-2196/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,current first-party baseline does not map this grade to this application;not a technical unsuitability statement,none,M996_VS_M2196_DIFFERENTIATION_FROZEN,"Base Grade–Application and Grade–Process mappings are approved, but differentiation, ranking, selection rationale and comparative positioning between M-996 and M-2196 remain unsupported and must not render.",DO_NOT_RENDER,Sulfate,VERIFIED_FOR_PUBLIC_MAPPING,ATT-M2196-R2196,D:/01AICode/7.27 马来全套TDS +应用指南/微信图片_20260830100826_2095_3.png,USER_CONFIRMED_CURRENT_VALID_TECHNICAL_MATERIAL,user confirmed current valid 2026-08-30,Sulfate rutile grade; neutral process classification only; no process superiority or comparative claim,none,RENDER_NEUTRAL_CLASSIFICATION,NONE,V01_NO_PUBLIC_MAPPING_RETAINED;V03_EVIDENCE_REFRESH
REL-M2196-SPEC,M-2196,Specialty Materials,NO_PUBLIC_MAPPING,SRC-WEB-M2196,https://www.mytio2.com/products/m-2196/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,current first-party baseline does not map this grade to this application;not a technical unsuitability statement,none,M996_VS_M2196_DIFFERENTIATION_FROZEN,"Base Grade–Application and Grade–Process mappings are approved, but differentiation, ranking, selection rationale and comparative positioning between M-996 and M-2196 remain unsupported and must not render.",DO_NOT_RENDER,Sulfate,VERIFIED_FOR_PUBLIC_MAPPING,ATT-M2196-R2196,D:/01AICode/7.27 马来全套TDS +应用指南/微信图片_20260830100826_2095_3.png,USER_CONFIRMED_CURRENT_VALID_TECHNICAL_MATERIAL,user confirmed current valid 2026-08-30,Sulfate rutile grade; neutral process classification only; no process superiority or comparative claim,none,RENDER_NEUTRAL_CLASSIFICATION,NONE,V01_NO_PUBLIC_MAPPING_RETAINED;V03_EVIDENCE_REFRESH
REL-M895-COAT,M-895,Coatings,VERIFIED_FOR_PUBLIC_MAPPING,SRC-WEB-M895,https://www.mytio2.com/products/m-895/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,neutral Grade to Review mapping only;no ranking recommendation equivalence or performance implication,none,,,RENDER_NEUTRAL_MAPPING,Chloride,VERIFIED_FOR_PUBLIC_MAPPING,SRC-WEB-M895,https://www.mytio2.com/products/m-895/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,neutral process classification only;no process superiority or performance implication,none,RENDER_NEUTRAL_CLASSIFICATION,SEL-COAT-M895,V01_PENDING_TO_VERIFIED
REL-M895-PLAS,M-895,Plastics,NO_PUBLIC_MAPPING,SRC-WEB-M895,https://www.mytio2.com/products/m-895/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,current first-party baseline does not map this grade to this application;not a technical unsuitability statement,none,,,DO_NOT_RENDER,Chloride,VERIFIED_FOR_PUBLIC_MAPPING,SRC-WEB-M895,https://www.mytio2.com/products/m-895/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,neutral process classification only;no process superiority or performance implication,none,RENDER_NEUTRAL_CLASSIFICATION,NONE,V01_NO_PUBLIC_MAPPING_RETAINED
REL-M895-MB,M-895,Masterbatch,NO_PUBLIC_MAPPING,SRC-WEB-M895,https://www.mytio2.com/products/m-895/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,current first-party baseline does not map this grade to this application;not a technical unsuitability statement,none,,,DO_NOT_RENDER,Chloride,VERIFIED_FOR_PUBLIC_MAPPING,SRC-WEB-M895,https://www.mytio2.com/products/m-895/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,neutral process classification only;no process superiority or performance implication,none,RENDER_NEUTRAL_CLASSIFICATION,NONE,V01_NO_PUBLIC_MAPPING_RETAINED
REL-M895-INK,M-895,Printing Inks,NO_PUBLIC_MAPPING,SRC-WEB-M895,https://www.mytio2.com/products/m-895/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,current first-party baseline does not map this grade to this application;not a technical unsuitability statement,none,,,DO_NOT_RENDER,Chloride,VERIFIED_FOR_PUBLIC_MAPPING,SRC-WEB-M895,https://www.mytio2.com/products/m-895/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,neutral process classification only;no process superiority or performance implication,none,RENDER_NEUTRAL_CLASSIFICATION,NONE,V01_NO_PUBLIC_MAPPING_RETAINED
REL-M895-PAPER,M-895,Paper,NO_PUBLIC_MAPPING,SRC-WEB-M895,https://www.mytio2.com/products/m-895/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,current first-party baseline does not map this grade to this application;not a technical unsuitability statement,none,,,DO_NOT_RENDER,Chloride,VERIFIED_FOR_PUBLIC_MAPPING,SRC-WEB-M895,https://www.mytio2.com/products/m-895/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,neutral process classification only;no process superiority or performance implication,none,RENDER_NEUTRAL_CLASSIFICATION,NONE,V01_NO_PUBLIC_MAPPING_RETAINED
REL-M895-SPEC,M-895,Specialty Materials,NO_PUBLIC_MAPPING,SRC-WEB-M895,https://www.mytio2.com/products/m-895/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,current first-party baseline does not map this grade to this application;not a technical unsuitability statement,none,,,DO_NOT_RENDER,Chloride,VERIFIED_FOR_PUBLIC_MAPPING,SRC-WEB-M895,https://www.mytio2.com/products/m-895/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,neutral process classification only;no process superiority or performance implication,none,RENDER_NEUTRAL_CLASSIFICATION,NONE,V01_NO_PUBLIC_MAPPING_RETAINED
REL-M200-COAT,M-200,Coatings,NO_PUBLIC_MAPPING,SRC-WEB-M200,https://www.mytio2.com/products/m-200/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,current first-party baseline does not map this grade to this application;not a technical unsuitability statement,none,,,DO_NOT_RENDER,Chloride,VERIFIED_FOR_PUBLIC_MAPPING,SRC-WEB-M200,https://www.mytio2.com/products/m-200/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,neutral process classification only;no process superiority or performance implication,none,RENDER_NEUTRAL_CLASSIFICATION,NONE,V01_NO_PUBLIC_MAPPING_RETAINED
